SUBJECT,GAME,WINDOW_INDEX,AF3_Delta_Power,AF3_Theta_Power,AF3_Alpha_Power,AF3_Beta_Power,AF4_Delta_Power,AF4_Theta_Power,AF4_Alpha_Power,AF4_Beta_Power,F3_Delta_Power,F3_Theta_Power,F3_Alpha_Power,F3_Beta_Power,F4_Delta_Power,F4_Theta_Power,F4_Alpha_Power,F4_Beta_Power,F7_Delta_Power,F7_Theta_Power,F7_Alpha_Power,F7_Beta_Power,F8_Delta_Power,F8_Theta_Power,F8_Alpha_Power,F8_Beta_Power,FC5_Delta_Power,FC5_Theta_Power,FC5_Alpha_Power,FC5_Beta_Power,FC6_Delta_Power,FC6_Theta_Power,FC6_Alpha_Power,FC6_Beta_Power,O1_Delta_Power,O1_Theta_Power,O1_Alpha_Power,O1_Beta_Power,O2_Delta_Power,O2_Theta_Power,O2_Alpha_Power,O2_Beta_Power,P7_Delta_Power,P7_Theta_Power,P7_Alpha_Power,P7_Beta_Power,P8_Delta_Power,P8_Theta_Power,P8_Alpha_Power,P8_Beta_Power,T7_Delta_Power,T7_Theta_Power,T7_Alpha_Power,T7_Beta_Power,T8_Delta_Power,T8_Theta_Power,T8_Alpha_Power,T8_Beta_Power
1,1,1,0.36030714554011056,0.18744935802580096,0.08123771001417322,0.10817543778278285,0.4166768988435655,0.13438949344696294,0.15625565606017566,0.1076395655274259,1.5584144841908871,0.07266619218422277,0.008957215092881297,0.00584661387094174,0.16342381461519245,0.08448930044110416,0.24099261016365284,0.09361805406138249,0.40148513056684937,0.11603358905510333,0.05049899397577784,0.058099135098639586,0.2852180837249809,0.06181432560073607,0.07253302428599526,0.04894513436145495,0.36823631468478746,0.04333347169141362,0.07770168546039852,0.05030233787565759,0.6054330711181306,0.06433825537556735,0.056474848535809606,0.06341495057658697,0.24415800482161623,0.01975887291130881,0.019793904316719728,0.025050663187392172,0.3327633863288702,0.04672097776196825,0.03440226777762039,0.047474718995121616,0.44824395864501293,0.024754571290945132,0.028585743963825804,0.023224145126086972,0.26832439011661974,0.053708270229231525,0.05017259994337664,0.06577064832644985,0.18918362665894314,0.018118384698554153,0.037483481942511575,0.02854841582015606,0.29370973874087236,0.03608421848285889,0.03868351459253981,0.03833389513462536
1,1,2,0.3048434921745909,0.03524368719452586,0.149727441963008,0.055074787427542786,0.18693894120805757,0.01708736107388798,0.056944402820435266,0.017877256431177605,0.22057457998674002,0.007686046410442779,0.029811354971329248,0.008639930737850092,0.18352742756342275,0.013155292522608285,0.061795858206350585,0.016409175419193886,0.2618986770152836,0.03095889576108353,0.07494437237363233,0.03353698338059408,0.24462588241006394,0.02350332439326433,0.05782193993775522,0.0349731484763959,0.12324548622322079,0.007450642774153089,0.036368486372299474,0.014625838933451972,0.20488029580500294,0.011732314550424413,0.031688058549831574,0.0266071377633665,0.14645283982325727,0.008756306909798055,0.01910752431329421,0.009997813680107076,0.1363699630226492,0.024637268971793858,0.045669333965420514,0.021372512089654308,1.7497746614956708,0.024963755593422614,0.011969006858650781,0.0034959164437043935,0.18908994970467255,0.02151571236602346,0.06119629803740408,0.02722974272874471,0.2663316860765881,0.04222664865155413,0.12988016071240707,0.053145731282025994,0.15136887675330052,0.01896750963358869,0.031644447668812845,0.02227211652225012
1,1,3,0.5380113999822652,0.059510310718540634,0.20278891359600132,0.04727908564954821,1.0572723394531347,0.0346977001701332,0.17295270229776533,0.028299052097284002,0.501693968837459,0.04600498049893839,0.0890148853858551,0.02135327849974554,0.6878616050699153,0.01745815091570534,0.09994259838088065,0.012022417474747391,0.49094515401973443,0.06183455682566087,0.16176402422423916,0.0568582688113827,0.36867719083373,0.04181801218653919,0.24943159974229723,0.04514046496296581,0.5027852116619703,0.0191941362013816,0.07104431068457935,0.02141238229212921,0.285215253479546,0.026451098157021735,0.06932715054507131,0.03567274496414013,0.42739911207675846,0.018836750808247225,0.14609261630197906,0.011449474672838382,0.6594082439878717,0.04969173819212188,0.20400537260616322,0.01852907915637375,0.4757810806658602,0.03443597887585774,0.19824746000618687,0.022454857238466033,0.4797173631988746,0.02520339379708359,0.15085866776855603,0.025864331329452657,0.33841567690677615,0.06677259596788326,0.3273284153560012,0.07320440911904506,0.4283822388780994,0.020105347504881077,0.12025672437754237,0.028595830310955972
1,1,4,0.2664393543124546,0.11947439128518599,0.03812449177984475,0.5166304890341059,0.28981285699981,0.04494066418164128,0.017210851210035908,0.17432507623323695,0.27785922331850793,0.03447183198061132,0.01711145804774079,0.13698093998318694,0.247625565707129,0.04830290935453536,0.02213136730047156,0.20874600504868301,0.23519048119892297,0.08024027803888437,0.02191002932275958,0.21656734639471945,0.3147485474916411,0.08187500709970183,0.024424244504184844,0.3685072305661861,0.20771957372756056,0.05353006864919298,0.015131613341327997,0.20463611751236283,0.2701224955541149,0.15020772541515134,0.04524907877979787,0.5172169675234995,0.2088655597213357,0.03111704100645051,0.01651789481555348,0.10211719808270113,0.3262266079812824,0.06450329914511663,0.023800947675714255,0.19483769058537606,0.20417909205791795,0.059354247609830386,0.016901910062583785,0.1693622869654943,0.2239565907259959,0.04968673692147836,0.03553692827649865,0.3789318425963438,0.24556169985830673,0.09620598519653253,0.025885020525356683,0.35700863817894135,0.25095095784749927,0.0764627299315847,0.05476991069523095,0.4832495696227701
1,1,5,0.30927069826461695,0.05640961764446253,0.03073268418396523,0.3105696923298855,0.18438146907800854,0.020232098710841737,0.015690127481116638,0.1381329802097456,0.21076456673090568,0.0328838915066531,0.011757524012278628,0.15163088860928536,0.1694909127987871,0.01606085710438072,0.008161805967059963,0.03881139425714185,0.37033100104327044,0.061226346418717284,0.028907075457112064,0.09783709262157161,0.15179645776740475,0.09591653160942232,0.028710413591300665,0.38682544555444476,0.2098953616929989,0.0314118150017035,0.012857428731648624,0.24302379442010325,0.21598768549217548,0.041902190941414064,0.016949122163748137,0.21188401287996564,0.10268568982378819,0.016490417039749676,0.009668516231962108,0.0558618769574879,0.2934052285413522,0.03620950049230984,0.015071609680921813,0.07145265613643666,0.20766488084877363,0.020943216164247377,0.009202701938357082,0.06152624341244129,0.1604763963772136,0.045345075501447694,0.021919417502093266,0.1432207319703538,0.21955583658906036,0.04264053781104033,0.013077978487460113,0.16020493211880232,0.49514085857721873,0.057463964969684214,0.029399876941434915,0.14528492237906426
1,1,6,0.14979186799737673,0.0673642001866898,0.04337817862220146,0.5057274812992625,0.23123315857896817,0.055892662602957215,0.03325669422723177,0.2613438563020799,0.4281334093282018,0.07893537255787592,0.023494772281577057,0.24402839540683605,0.1337220258008553,0.042083439390778236,0.027473320041403113,0.39770596695195504,0.19757379596812746,0.06814864352892822,0.026956084729328665,0.4103753946303798,0.1945403988460253,0.06807482999123254,0.051059363374845866,0.40850773126754536,0.11257733137145019,0.04580984111515117,0.02211502335603492,0.3069185195031151,0.13179653902386743,0.07453939982181468,0.023397870402022198,0.4233718028092571,0.15337220403507512,0.03894310727575919,0.022750710169700934,0.26158741246211864,0.1390415680495158,0.061013119454986955,0.025015509071258275,0.30411608207470825,0.16712938817160336,0.038746784885490305,0.016153206432693776,0.1922459193919086,0.12186256249763332,0.050202357083702076,0.02486990751469465,0.3280069254840743,0.14935567242401246,0.06875000303690505,0.028606142013907487,0.4768473832940384,0.12475525963344941,0.07080387831609387,0.04380026208576618,0.6122524242683796
1,1,7,0.10755688094600876,0.06951130607612951,0.06037288993612604,0.4818575068734652,0.2489948010194082,0.0599458234779429,0.04565866734778575,0.4107056849428864,0.11178340767538043,0.038823982718549324,0.05573551633486851,0.4659371254305161,0.10300772530094097,0.08099156937910296,0.06453595178337652,0.48720096908681915,0.278507689766016,0.08815080716328283,0.06630874350776284,0.49672471016707187,0.20920306758593926,0.12724541497338365,0.0733706073455207,0.5325929368827661,0.20726415538066972,0.09307041420219656,0.04996088292317157,0.4462432173397556,0.23546694499131202,0.12188735604841448,0.045999334522113244,0.4023563042487235,0.30656954781741796,0.049135634616430585,0.0534034162295062,0.29033570058192637,0.23097220996354287,0.16057303575792967,0.054122709627408415,0.374715602400245,0.32311962339246186,0.07369964090544989,0.034787284671345245,0.25594512140521625,0.18135306940513765,0.06998793489243108,0.05330555767073639,0.4514356150480859,0.14586933253422146,0.07238390824782517,0.05744502731043547,0.5244423648340266,0.11696927284778323,0.10171251425893504,0.07815091128159642,0.6597239101688651
1,1,8,0.17568655912085035,0.09425562743429691,0.07760781061468205,0.5793401963687207,0.7121390857671038,0.07223793024562934,0.03168678436513374,0.2821030215917336,0.20464977660872893,0.07097086613547386,0.030870116077555406,0.46042801524221627,0.16555874944605933,0.07124874280462931,0.055347610067228895,0.5984908812701202,0.19277580541145584,0.07398314185332563,0.07202213035858233,0.5256160879061245,0.24711969109843201,0.09177381484986585,0.052464538664163375,0.5126301772623434,0.17022496073946985,0.09309747763725224,0.04699091207513695,0.48887904076660044,0.2076898130325912,0.09220953831425913,0.057999362452458104,0.42704873496580875,0.3608672456154579,0.04053864187343144,0.04597013411354456,0.3677186084434888,0.3915586020334425,0.06603138970734386,0.04572329283519794,0.32228231685394726,0.25396854248041045,0.05232582264780522,0.049181254724301904,0.3165606258862108,0.17176987119269072,0.06978463105903926,0.06010577549196698,0.5014408889103047,0.22486947850398184,0.03710271122783836,0.02785112266881445,0.3550057994719952,0.23094329082162737,0.040907763081025034,0.0501427265691352,0.5938318845891154
1,1,9,0.2267058132669749,0.04932172014910828,0.05098775054387921,0.5158684048428731,0.14700456941863485,0.03619548111663533,0.040550856486543115,0.30679502017094595,0.11256109072651668,0.05037678281359554,0.025670993245755443,0.3456380076232366,0.05544027514298569,0.0502174371961173,0.044529001703946136,0.5387599396301501,0.1768122270346874,0.0813115234532855,0.0555067529208567,0.46658123135552243,0.1258195330101028,0.07574596121549415,0.04194478935780446,0.5423636168586067,0.08783116615340028,0.062487818100734116,0.036908727714416015,0.4438660256234296,0.1114818980479377,0.09792436454886873,0.029961132995775578,0.4745509613824749,0.0997418135455442,0.04646275497130387,0.04830233444459933,0.28387800149759207,0.18480998670811769,0.06566357675976736,0.033718284106028805,0.32662026353838997,0.2482165404717793,0.07107445221568504,0.02383761555719093,0.32889286590840205,0.13576555716929134,0.04994729467990232,0.03673562335493825,0.39360334540580366,0.20561051461573798,0.06340531168192479,0.02051340381489724,0.4425852015596683,0.08729371090298144,0.05675163289735845,0.06479585215704695,0.6114077060207367
1,1,10,0.16490787226942152,0.0815076972288965,0.04772158929918562,0.5693772711311187,0.12372312209861035,0.050980459125541874,0.055573845356033685,0.3128116098941012,0.09603959245057671,0.048681043263925056,0.02995024773056913,0.37943276195077574,0.06767952648834812,0.05260027549039811,0.08514183443544031,0.6018677940733599,0.43974403091243536,0.1231667287668311,0.04770955595259647,0.42809537122182995,0.23139589605541924,0.07154383931493544,0.0428660179581345,0.5248042243084483,0.18652043975992877,0.0597949998004612,0.035072120154717286,0.41140336711887043,0.1507682395113653,0.09159669107898807,0.0440520042185077,0.5321381842249363,0.23229055600047796,0.03975380887235039,0.034191008790192205,0.3317159665998598,0.23050195588232789,0.0774228896887787,0.039222222144993525,0.3867304055223342,0.13923046583684964,0.07352209919514213,0.04065547518697036,0.37417486399885663,0.2224332537234006,0.07251844083108192,0.03983627179974984,0.5634594779564436,0.15194862278896135,0.047209508264495284,0.035444981503962,0.5272396475201602,0.33615286668276106,0.06330208223505682,0.051131134708102474,0.48460134789112497
